epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,220.134,1.37731,1.31902,1.52435,1.22636,0.44012,0.46067,0.33781,0.19096,0.44012,0.46067,0.3362,0.14029,1.6011,1.41841,2.61552,1.33789,0.00157034,0.00157034,0.00157034
31,226.803,1.38269,1.33448,1.41889,1.21957,0.51212,0.52164,0.42924,0.24425,0.55616,0.57012,0.48706,0.24579,1.68466,1.33433,2.26763,1.34124,0.00156701,0.00156701,0.00156701
32,234.034,1.33195,1.31589,1.37264,1.20217,0.54148,0.6086,0.5277,0.30397,0.54148,0.6086,0.53906,0.23584,1.41806,1.49205,1.91316,1.24282,0.00156368,0.00156368,0.00156368
33,241.021,1.37013,1.33485,1.42695,1.23758,0.61439,0.56364,0.55034,0.33832,0.63003,0.58207,0.56276,0.26993,1.56563,1.43171,1.96607,1.25299,0.00156034,0.00156034,0.00156034
34,247.966,1.33768,1.27392,1.36979,1.21177,0.51161,0.53571,0.45425,0.28536,0.50039,0.55655,0.45561,0.1902,1.50892,1.58585,1.92626,1.22095,0.00155701,0.00155701,0.00155701
35,254.903,1.30229,1.28109,1.3147,1.1777,0.51258,0.32991,0.40514,0.24313,0.51258,0.32991,0.387,0.17338,1.46483,1.49398,1.86067,1.20025,0.00155368,0.00155368,0.00155368
36,261.766,1.30787,1.19791,1.25948,1.14386,0.54374,0.36607,0.39796,0.22403,0.50799,0.36607,0.3377,0.14168,1.3118,1.45366,2.0855,1.18855,0.00155035,0.00155035,0.00155035
37,268.515,1.36043,1.23285,1.3349,1.21036,0.74689,0.31741,0.39169,0.21835,0.74689,0.31741,0.36922,0.13432,1.37063,1.42029,2.29664,1.19655,0.00154701,0.00154701,0.00154701
38,275.472,1.32377,1.2493,1.28491,1.18564,0.54966,0.32831,0.34062,0.18965,0.76149,0.21307,0.27699,0.1299,1.37379,1.53046,2.56802,1.25728,0.00154368,0.00154368,0.00154368
39,282.344,1.28756,1.25923,1.36602,1.19087,0.34298,0.54167,0.32936,0.18572,0.29426,0.47024,0.27672,0.12644,1.33978,1.397,2.41073,1.20786,0.00154035,0.00154035,0.00154035
40,289.194,1.22692,1.33814,1.2466,1.17357,0.45001,0.46429,0.35539,0.21401,0.42006,0.42857,0.31405,0.1411,1.27805,1.33596,2.38512,1.15202,0.00153701,0.00153701,0.00153701
41,296.002,1.23514,1.20892,1.26175,1.15403,0.41841,0.37202,0.3571,0.23981,0.41841,0.37202,0.32994,0.13058,1.24174,1.41164,2.84487,1.20297,0.00153368,0.00153368,0.00153368
42,302.66,1.31188,1.22862,1.30128,1.20961,0.65231,0.34524,0.38849,0.27328,0.72003,0.24981,0.30625,0.15518,1.31045,1.29112,2.36743,1.22451,0.00153035,0.00153035,0.00153035
43,309.403,1.1936,1.1836,1.20975,1.18909,0.53301,0.49702,0.42761,0.29917,0.45118,0.48032,0.36839,0.17969,1.26681,1.25455,1.55494,1.29578,0.00152701,0.00152701,0.00152701
44,316.202,1.23422,1.20307,1.26919,1.18352,0.53604,0.35119,0.4018,0.2599,0.53604,0.35119,0.38999,0.1758,1.23002,1.43779,2.08308,1.27612,0.00152368,0.00152368,0.00152368
45,323.053,1.23685,1.22686,1.24461,1.15895,0.27364,0.38516,0.32377,0.23848,0.29049,0.42157,0.34913,0.16852,1.23776,1.42338,1.84582,1.28966,0.00152035,0.00152035,0.00152035
46,330.167,1.18995,1.11144,1.14878,1.15025,0.30624,0.35119,0.31773,0.22515,0.31849,0.37202,0.34144,0.18434,1.22972,1.2786,2.06362,1.254,0.00151702,0.00151702,0.00151702
47,337.135,1.24203,1.08986,1.30332,1.21987,0.61126,0.25298,0.33881,0.21875,0.55711,0.2381,0.28705,0.14573,1.37839,1.38913,2.88813,1.24684,0.00151368,0.00151368,0.00151368
48,345.811,1.21227,1.14805,1.22558,1.13916,0.58386,0.28869,0.36127,0.24686,0.61506,0.30952,0.37386,0.16498,1.31262,1.3105,2.55955,1.2203,0.00151035,0.00151035,0.00151035
49,352.614,1.13763,1.14353,1.08516,1.10387,0.3842,0.35826,0.37404,0.25275,0.39282,0.37909,0.3971,0.17148,1.29637,1.2729,2.33857,1.2342,0.00150702,0.00150702,0.00150702
50,359.437,1.19578,1.17514,1.13483,1.13579,0.43275,0.43155,0.3385,0.21644,0.44457,0.45238,0.37946,0.18469,1.28867,1.27668,1.72751,1.16634,0.00150368,0.00150368,0.00150368
51,366.29,1.12713,1.09687,1.05528,1.08242,0.51978,0.33036,0.33987,0.22327,0.6695,0.28869,0.32991,0.15047,1.33474,1.22099,2.5319,1.22792,0.00150035,0.00150035,0.00150035
52,373.274,1.18415,1.22839,1.04054,1.11399,0.69447,0.28869,0.36614,0.231,0.54199,0.34524,0.38601,0.17774,1.55298,1.30657,2.73825,1.26995,0.00149702,0.00149702,0.00149702
